iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,hosp_patients,people_vaccinated,people_fully_vaccinated,total_boosters,stringency_index,population,excess_mortality,new_cases_clean,new_deaths_clean,new_cases_7day,new_deaths_7day,incidence_7day_per_100k,deaths_7day_per_100k,cfr_percent,new_cases_log,people_vaccinated_per_100,people_fully_vaccinated_per_100,boosters_per_100,wave
DEU,Europe,Germany,2022-06-30,27877640.0,0.0,144384.0,0.0,1.21,932.0,,64742175.0,63395721.0,57157171.0,14.56,83369840,,0.0,0.0,82032.14285714286,80.85714285714286,688.7682643987322,0.6789025863549697,0.5179204552465704,11.314878625771847,77.65659020096476,76.04155291649835,68.55857106118951,Wave 5 (Omicron)
DEU,Europe,Germany,2022-07-01,27877640.0,0.0,144384.0,0.0,1.19,978.0,,64743504.0,63397660.0,57189649.0,14.56,83369840,,0.0,0.0,82032.14285714286,80.85714285714286,688.7682643987322,0.6789025863549697,0.5179204552465704,11.314878625771847,77.6581843026207,76.04387869762014,68.59752759511113,Decline
DEU,Europe,Germany,2022-07-02,27877640.0,0.0,144384.0,0.0,1.17,982.0,,64744019.0,63398556.0,57198697.0,14.56,83369840,,0.0,0.0,82032.14285714286,80.85714285714286,688.7682643987322,0.6789025863549697,0.5179204552465704,11.314878625771847,77.65880203200581,76.04495342680279,68.60838044069654,Decline
DEU,Europe,Germany,2022-07-03,28500416.0,622776.0,144994.0,610.0,1.16,998.0,,64744123.0,63398761.0,57201095.0,14.56,83369840,8.04,622776.0,610.0,88968.0,87.14285714285714,747.0039525084851,0.7316794658595962,0.5087434513236578,11.396043273431912,77.65892677735738,76.0451993190823,68.61125678062953,Decline
DEU,Europe,Germany,2022-07-04,28500416.0,0.0,144994.0,0.0,1.14,1064.0,,64744744.0,63399742.0,57220578.0,14.56,83369840,,0.0,0.0,88968.0,87.14285714285714,747.0039525084851,0.7316794658595962,0.5087434513236578,11.396043273431912,77.65967165104311,76.04637600360034,68.63462614297929,Decline
DEU,Europe,Germany,2022-07-05,28500416.0,0.0,144994.0,0.0,1.13,1065.0,,64745905.0,63401535.0,57265320.0,14.56,83369840,,0.0,0.0,88968.0,87.14285714285714,747.0039525084851,0.7316794658595962,0.5087434513236578,11.396043273431912,77.66106424097731,76.04852666144015,68.68829303258829,Decline
DEU,Europe,Germany,2022-07-06,28500416.0,0.0,144994.0,0.0,1.12,1046.0,,64747205.0,63403566.0,57314541.0,14.56,83369840,,0.0,0.0,88968.0,87.14285714285714,747.0039525084851,0.7316794658595962,0.5087434513236578,11.396043273431912,77.66262355787177,76.05096279421912,68.74733236863595,Decline
DEU,Europe,Germany,2022-07-07,28500416.0,0.0,144994.0,0.0,1.12,1048.0,,64748760.0,63406516.0,57370494.0,14.56,83369840,,0.0,0.0,88968.0,87.14285714285714,747.0039525084851,0.7316794658595962,0.5087434513236578,11.396043273431912,77.66448874077244,76.05450124409498,68.81444656724783,Decline
DEU,Europe,Germany,2022-07-08,28500416.0,0.0,144994.0,0.0,1.11,1072.0,,64750099.0,63408480.0,57409735.0,14.56,83369840,,0.0,0.0,88968.0,87.14285714285714,747.0039525084851,0.7316794658595962,0.5087434513236578,11.396043273431912,77.66609483717373,76.05685701208014,68.86151514744421,Decline
DEU,Europe,Germany,2022-07-09,28500416.0,0.0,144994.0,0.0,1.1,1054.0,,64750703.0,63409260.0,57419918.0,14.56,83369840,,0.0,0.0,88968.0,87.14285714285714,747.0039525084851,0.7316794658595962,0.5087434513236578,11.396043273431912,77.6668193197924,76.05779260221682,68.87372939662593,Decline
DEU,Europe,Germany,2022-07-10,29129765.0,629349.0,145696.0,702.0,1.1,1101.0,,64750786.0,63409418.0,57422469.0,14.56,83369840,2.49,629349.0,702.0,89907.0,100.28571428571429,754.8880986217558,0.8420311230056337,0.5001619477534405,11.406542204264717,77.66691887617873,76.05798211919323,68.87678925616267,Decline
DEU,Europe,Germany,2022-07-11,29129765.0,0.0,145696.0,0.0,1.09,1174.0,,64751768.0,63411020.0,57445091.0,11.11,83369840,,0.0,0.0,89907.0,100.28571428571429,754.8880986217558,0.8420311230056337,0.5001619477534405,11.406542204264717,77.6680967601713,76.059903677397,68.90392376907525,Decline
DEU,Europe,Germany,2022-07-12,29129765.0,0.0,145696.0,0.0,1.08,1215.0,,64753243.0,63413254.0,57498799.0,11.11,83369840,,0.0,0.0,89907.0,100.28571428571429,754.8880986217558,0.8420311230056337,0.5001619477534405,11.406542204264717,77.66986598510924,76.0625833035064,68.96834514735785,Decline
DEU,Europe,Germany,2022-07-13,29129765.0,0.0,145696.0,0.0,1.08,1239.0,,64754427.0,63415214.0,57555617.0,11.11,83369840,,0.0,0.0,89907.0,100.28571428571429,754.8880986217558,0.8420311230056337,0.5001619477534405,11.406542204264717,77.67128616295773,76.06493427359342,69.0364968914418,Decline
DEU,Europe,Germany,2022-07-14,29129765.0,0.0,145696.0,0.0,1.08,1241.0,,64755593.0,63417120.0,57618289.0,11.11,83369840,,0.0,0.0,89907.0,100.28571428571429,754.8880986217558,0.8420311230056337,0.5001619477534405,11.406542204264717,77.67268475026461,76.0672204720556,69.11167035944892,Decline
