week,new_cases_clean,new_deaths_clean,new_cases_7day,new_deaths_7day,incidence_7day_per_100k,cfr_percent,people_vaccinated_per_100,people_fully_vaccinated_per_100,boosters_per_100,hosp_patients,icu_patients,excess_mortality,wave
2020-01-05,1.0,3.0,1.0,3.0,0.0011994745341960594,300.0,,,,,,-3.87,Outside defined waves
2020-01-12,0.0,0.0,0.22755102040816325,0.6826530612244898,0.001028121029310908,300.0,,,,,,-2.79,Outside defined waves
2020-01-19,0.0,0.0,0.0,0.0,0.0,300.0,,,,,,-5.05,Outside defined waves
2020-01-26,1.0,3.0,0.02040816326530612,0.061224489795918366,0.00017135350488515136,300.0,,,,,,-6.71,Outside defined waves
2020-02-02,9.0,3.0,0.30612244897959184,0.42857142857142855,0.00257030257327727,268.83116883116884,,,,,,-5.22,Outside defined waves
2020-02-09,9.0,0.0,1.2857142857142858,0.36734693877551017,0.010795270807764533,76.55844155844157,,,,,,-8.78,Outside defined waves
2020-02-16,5.0,0.0,1.2040816326530612,0.0,0.01010985678822393,43.714285714285715,,,,,,-8.24,Outside defined waves
2020-02-23,6.0,1.0,0.7346938775510204,0.02040816326530612,0.006168726175865448,35.465437788018434,,,,,,-13.33,Outside defined waves
2020-03-01,139.0,1.0,3.5714285714285716,0.14285714285714285,0.02998686335490149,28.57413933315262,,,,,,-12.82,Wave 1
2020-03-08,905.0,12.0,35.48979591836734,0.36734693877551017,0.2979837449952782,5.851866327926521,,,,,,-10.04,Wave 1
2020-03-15,6441.0,84.0,242.26530612244895,3.183673469387755,2.034137456491632,2.0372626989333056,,,,,,-5.19,Wave 1
2020-03-22,22407.0,479.0,1245.9795918367347,20.061224489795922,10.461645533753146,1.5000196187676198,,,,,290.6666666666667,-1.74,Wave 1
2020-03-29,33981.0,1459.0,3437.204081632653,88.42857142857143,28.859871353271842,2.1357530585387825,,,,,807.0,1.42,Wave 1
2020-04-05,36067.0,2273.0,4897.0,225.0408163265306,41.11678755770673,3.3599897996100245,,,,,2001.5714285714287,9.04,Wave 1
2020-04-12,27145.0,1878.0,4970.34693877551,316.65306122448976,41.73263205426395,4.398543364479001,,,,,2656.4285714285716,11.65,Wave 1
2020-04-19,17345.0,1226.0,3677.8571428571427,254.9795918367347,30.880471882877547,4.911921020262391,,,,,2813.4285714285716,7.36,Wave 1
2020-04-26,12351.0,727.0,2375.938775510204,164.9591836734694,19.949146392234205,5.146140229489503,,,,,2708.4285714285716,3.75,Wave 1
2020-05-03,7442.0,388.0,1664.2448979591834,96.93877551020408,13.973535616374322,5.196778549705168,,,,,2230.4285714285716,2.85,Wave 1
2020-05-10,6243.0,258.0,1038.673469387755,52.775510204081634,8.721036631129778,5.191868174370448,,,,,1763.2857142857142,-0.25,Wave 1
2020-05-17,4775.0,165.0,861.8979591836735,34.95918367346938,7.236772571814597,5.151820803053276,,,,,1333.142857142857,-1.51,Wave 1
2020-05-24,3604.0,111.0,658.2448979591836,22.469387755102044,5.526835946565671,5.106205307822213,,,,,1005.8571428571429,1.25,Wave 1
2020-05-31,3206.0,65.0,506.734693877551,14.918367346938776,4.254707526298308,5.063454837213198,,,,,759.7142857142857,-1.9,Wave 1
2020-06-07,2354.0,44.0,440.61224489795916,8.857142857142858,3.699522170470417,5.0117791123324835,,,,,620.5714285714286,1.88,Wave 1
2020-06-14,2348.0,35.0,336.1632653061224,6.1020408163265305,2.822534932468213,4.971074850369868,,,,,477.42857142857144,0.94,Wave 1
2020-06-21,4192.0,41.0,373.06122448979596,5.122448979591836,3.1323420693005666,4.921102685282618,,,,,393.57142857142856,-2.28,Wave 1
2020-06-28,3167.0,21.0,577.9387755102041,5.448979591836734,4.852559904842601,4.836932906724558,,,,,356.14285714285717,2.32,Wave 1
2020-07-05,2691.0,26.0,442.7142857142857,3.102040816326531,3.7171715814735884,4.770990955354409,,,,,323.14285714285717,-5.61,Outside defined waves
2020-07-12,2429.0,25.0,379.0816326530612,3.693877551020408,3.1828913532416863,4.719879436304971,,,,,280.85714285714283,-3.48,Outside defined waves
2020-07-19,3044.0,31.0,359.55102040816325,3.693877551020408,3.0189060490665964,4.673377135772573,,,,,253.28571428571428,-3.49,Outside defined waves
2020-07-26,3936.0,33.0,453.06122448979596,4.469387755102042,3.8040478084503597,4.615810935430486,,,,,248.14285714285714,-4.65,Outside defined waves
2020-08-02,4843.0,37.0,580.795918367347,4.795918367346938,4.8765493955265224,4.541429842138483,,,,,259.85714285714283,0.35,Outside defined waves
2020-08-09,6067.0,34.0,716.8367346938776,5.224489795918367,6.018791859090941,4.451307922189895,,,,,242.0,2.73,Outside defined waves
2020-08-16,7971.0,31.0,905.5714285714286,4.795918367346938,7.603469072268821,4.337681890234447,,,,,226.71428571428572,17.1,Outside defined waves
2020-08-23,9580.0,31.0,1171.5510204081634,4.428571428571429,9.836719301436998,4.19452736847846,,,,,231.14285714285714,5.49,Outside defined waves
2020-08-30,8844.0,18.0,1353.5510204081634,4.163265306122449,11.364849858002776,4.0383062079309555,,,,,236.85714285714286,-0.87,Outside defined waves
2020-09-06,8609.0,35.0,1258.6326530612243,2.918367346938776,10.567884706781939,3.901195974563096,,,,,227.42857142857142,2.44,Outside defined waves
2020-09-13,9785.0,68.0,1253.857142857143,5.673469387755103,10.527787986638813,3.7818653743264092,,,,,229.57142857142858,3.15,Outside defined waves
2020-09-20,12285.0,82.0,1448.8775510204082,10.0,12.165242079321319,3.663199089399651,,,,,245.0,5.26,Outside defined waves
2020-09-27,13064.0,110.0,1770.8979591836735,12.285714285714286,14.869029032904121,3.5298512372112207,,,,,296.0,3.58,Outside defined waves
2020-10-04,15946.0,121.0,1925.1020408163265,15.938775510204081,16.163776115816326,3.4043777768292114,,,,,374.57142857142856,3.54,Wave 2
2020-10-11,26145.0,247.0,2486.1428571428573,19.857142857142858,20.87445531861402,3.2577012764751756,,,,,491.14285714285717,-1.04,Wave 2
2020-10-18,42031.0,464.0,4059.204081632653,39.714285714285715,34.082383475161485,3.066284655819316,,,,,665.0,0.94,Wave 2
2020-10-25,74792.0,1015.0,6673.020408163265,77.53061224489797,56.02882632033702,2.836518277112645,,,,,1045.4285714285713,5.6,Wave 2
2020-11-01,111009.0,1621.0,11423.69387755102,157.3673469387755,95.9170092480172,2.5857800445199457,,,,,1705.2857142857142,6.06,Wave 2
2020-11-08,125692.0,1910.0,16158.08163265306,237.46938775510202,135.66845207879905,2.365119146284973,,,,,2617.0,5.91,Wave 2
2020-11-15,127862.0,2536.0,18000.285714285714,285.63265306122446,151.13619025777186,2.2226113634996674,,,,,3197.285714285714,9.62,Wave 2
2020-11-22,128400.0,3226.0,18276.979591836734,376.3673469387755,153.45940107700477,2.1958361163028575,,,,,3580.285714285714,11.08,Wave 2
