iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,hosp_patients,people_vaccinated,people_fully_vaccinated,total_boosters,stringency_index,population,excess_mortality,new_cases_clean,new_deaths_clean,new_cases_7day,new_deaths_7day,incidence_7day_per_100k,deaths_7day_per_100k,cfr_percent,new_cases_log,people_vaccinated_per_100,people_fully_vaccinated_per_100,boosters_per_100,wave
DEU,Europe,Germany,2020-01-05,1.0,1.0,3.0,3.0,,,,,,,0.0,83369840,-3.87,1.0,3.0,1.0,3.0,0.0011994745341960594,0.003598423602588178,300.0,0.6931471805599453,,,,Outside defined waves
DEU,Europe,Germany,2020-01-06,1.0,0.0,3.0,0.0,,,,,,,0.0,83369840,,0.0,0.0,0.5,1.5,0.0011994745341960594,0.003598423602588178,300.0,0.4054651081081644,,,,Outside defined waves
DEU,Europe,Germany,2020-01-07,1.0,0.0,3.0,0.0,,,,,,,0.0,83369840,,0.0,0.0,0.3333333333333333,1.0,0.0011994745341960594,0.003598423602588178,300.0,0.2876820724517809,,,,Outside defined waves
DEU,Europe,Germany,2020-01-08,1.0,0.0,3.0,0.0,,,,,,,0.0,83369840,,0.0,0.0,0.25,0.75,0.0011994745341960594,0.003598423602588178,300.0,0.22314355131420976,,,,Outside defined waves
DEU,Europe,Germany,2020-01-09,1.0,0.0,3.0,0.0,,,,,,,0.0,83369840,,0.0,0.0,0.2,0.6,0.0011994745341960594,0.003598423602588178,300.0,0.18232155679395462,,,,Outside defined waves
DEU,Europe,Germany,2020-01-10,1.0,0.0,3.0,0.0,,,,,,,0.0,83369840,,0.0,0.0,0.16666666666666666,0.5,0.0011994745341960594,0.003598423602588178,300.0,0.1541506798272583,,,,Outside defined waves
DEU,Europe,Germany,2020-01-11,1.0,0.0,3.0,0.0,,,,,,,0.0,83369840,,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0011994745341960594,0.003598423602588178,300.0,0.13353139262452263,,,,Outside defined waves
DEU,Europe,Germany,2020-01-12,1.0,0.0,3.0,0.0,,,,,,,0.0,83369840,-2.79,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,Outside defined waves
DEU,Europe,Germany,2020-01-13,1.0,0.0,3.0,0.0,,,,,,,0.0,83369840,,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,Outside defined waves
DEU,Europe,Germany,2020-01-14,1.0,0.0,3.0,0.0,,,,,,,0.0,83369840,,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,Outside defined waves
DEU,Europe,Germany,2020-01-15,1.0,0.0,3.0,0.0,,,,,,,0.0,83369840,,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,Outside defined waves
DEU,Europe,Germany,2020-01-16,1.0,0.0,3.0,0.0,,,,,,,0.0,83369840,,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,,,Outside defined waves
